Time,Abs
0,0.511
1,0.506
2,0.501
3,0.497
4,0.491
6,0.487
7,0.483
8,0.476
9,0.472
10,0.467
11,0.464
12,0.458
13,0.454
14,0.448
16,0.444
17,0.441
18,0.436
19,0.43
20,0.427
21,0.423
22,0.419
24,0.415
25,0.41
26,0.405
27,0.402
28,0.397
29,0.394
30,0.39
31,0.387
33,0.383
34,0.378
35,0.374
36,0.373
37,0.367
38,0.364
39,0.361
41,0.357
42,0.354
43,0.35
44,0.346
45,0.342
46,0.338
47,0.337
49,0.331
50,0.327
51,0.324
52,0.32
53,0.317
54,0.314
56,0.31
57,0.308
58,0.302
59,0.299
60,0.296
61,0.293
62,0.289
64,0.286
65,0.283
66,0.281
67,0.277
68,0.273
69,0.27
71,0.267
72,0.264
73,0.262
74,0.26
75,0.257
76,0.256
78,0.252
79,0.249
80,0.245
81,0.244
82,0.241
83,0.24
85,0.235
86,0.233
87,0.231
88,0.227
89,0.225
90,0.222
92,0.22
93,0.218
94,0.217
95,0.213
96,0.21
97,0.209
99,0.207
100,0.205
101,0.204
102,0.2
103,0.198
104,0.197
106,0.195
107,0.191
108,0.19
109,0.189
110,0.186
112,0.185
113,0.182
114,0.18
115,0.178
116,0.175
118,0.174
119,0.172
120,0.171
121,0.168
122,0.166
124,0.165
125,0.163
126,0.163
127,0.161
129,0.157
130,0.157
131,0.156
132,0.155
133,0.15
135,0.15
136,0.147
137,0.148
138,0.145
139,0.144
141,0.142
142,0.14
143,0.138
144,0.136
145,0.134
147,0.135
148,0.132
149,0.133
150,0.131
152,0.129
153,0.127
154,0.125
155,0.125
157,0.124
158,0.122
159,0.122
160,0.12
162,0.117
163,0.117
164,0.115
165,0.115
167,0.115
168,0.112
169,0.111
170,0.109
171,0.109
173,0.107
174,0.107
175,0.104
177,0.104
178,0.104
179,0.103
180,0.1
182,0.099
183,0.102
184,0.098
185,0.096
187,0.097
188,0.096
189,0.092
191,0.093
192,0.092
193,0.089
194,0.09
196,0.089
197,0.088
198,0.088
199,0.086
201,0.086
